round,year,company,pars,value
0,2021,Andrews,ROS,0.041
0,2021,Baldwin,ROS,0.041
0,2021,Chester,ROS,0.041
0,2021,Digby,ROS,0.041
0,2021,Erie,ROS,0.041
0,2021,Ferris,ROS,0.041
0,2021,Andrews,Asset Turnover,1.05
0,2021,Baldwin,Asset Turnover,1.05
0,2021,Chester,Asset Turnover,1.05
0,2021,Digby,Asset Turnover,1.05
0,2021,Erie,Asset Turnover,1.05
0,2021,Ferris,Asset Turnover,1.05
0,2021,Andrews,ROA,0.044
0,2021,Baldwin,ROA,0.044
0,2021,Chester,ROA,0.044
0,2021,Digby,ROA,0.044
0,2021,Erie,ROA,0.044
0,2021,Ferris,ROA,0.044
0,2021,Andrews,Leverage,2.0
0,2021,Baldwin,Leverage,2.0
0,2021,Chester,Leverage,2.0
0,2021,Digby,Leverage,2.0
0,2021,Erie,Leverage,2.0
0,2021,Ferris,Leverage,2.0
0,2021,Andrews,ROE,0.087
0,2021,Baldwin,ROE,0.087
0,2021,Chester,ROE,0.087
0,2021,Digby,ROE,0.087
0,2021,Erie,ROE,0.087
0,2021,Ferris,ROE,0.087
0,2021,Andrews,Emergency Loan,0.0
0,2021,Baldwin,Emergency Loan,0.0
0,2021,Chester,Emergency Loan,0.0
0,2021,Digby,Emergency Loan,0.0
0,2021,Erie,Emergency Loan,0.0
0,2021,Ferris,Emergency Loan,0.0
0,2021,Andrews,Sales,101073.437
0,2021,Baldwin,Sales,101073.437
0,2021,Chester,Sales,101073.437
0,2021,Digby,Sales,101073.437
0,2021,Erie,Sales,101073.437
0,2021,Ferris,Sales,101073.437
0,2021,Andrews,EBIT,11996.365
0,2021,Baldwin,EBIT,11996.365
0,2021,Chester,EBIT,11996.365
0,2021,Digby,EBIT,11996.365
0,2021,Erie,EBIT,11996.365
0,2021,Ferris,EBIT,11996.365
0,2021,Andrews,Profits,4188.507
0,2021,Baldwin,Profits,4188.507
0,2021,Chester,Profits,4188.507
0,2021,Digby,Profits,4188.507
0,2021,Erie,Profits,4188.507
0,2021,Ferris,Profits,4188.507
0,2021,Andrews,Cumulative Profit,4188.507
0,2021,Baldwin,Cumulative Profit,4188.507
0,2021,Chester,Cumulative Profit,4188.507
0,2021,Digby,Cumulative Profit,4188.507
0,2021,Erie,Cumulative Profit,4188.507
0,2021,Ferris,Cumulative Profit,4188.507
0,2021,Andrews,SG&A / Sales,0.089
0,2021,Baldwin,SG&A / Sales,0.089
0,2021,Chester,SG&A / Sales,0.089
0,2021,Digby,SG&A / Sales,0.089
0,2021,Erie,SG&A / Sales,0.089
0,2021,Ferris,SG&A / Sales,0.089
0,2021,Andrews,Contrib. Margin %,0.283
0,2021,Baldwin,Contrib. Margin %,0.283
0,2021,Chester,Contrib. Margin %,0.283
0,2021,Digby,Contrib. Margin %,0.283
0,2021,Erie,Contrib. Margin %,0.283
0,2021,Ferris,Contrib. Margin %,0.283
0,2021,Andrews,Net Income(Loss),4189.0
0,2021,Baldwin,Net Income(Loss),4189.0
0,2021,Chester,Net Income(Loss),4189.0
0,2021,Digby,Net Income(Loss),4189.0
0,2021,Erie,Net Income(Loss),4189.0
0,2021,Ferris,Net Income(Loss),4189.0
0,2021,Andrews,Depreciation,7587.0
0,2021,Baldwin,Depreciation,7587.0
0,2021,Chester,Depreciation,7587.0
0,2021,Digby,Depreciation,7587.0
0,2021,Erie,Depreciation,7587.0
0,2021,Ferris,Depreciation,7587.0
0,2021,Andrews,Extraordinary gains/losses/writeoffs,0.0
0,2021,Baldwin,Extraordinary gains/losses/writeoffs,0.0
0,2021,Chester,Extraordinary gains/losses/writeoffs,0.0
0,2021,Digby,Extraordinary gains/losses/writeoffs,0.0
0,2021,Erie,Extraordinary gains/losses/writeoffs,0.0
0,2021,Ferris,Extraordinary gains/losses/writeoffs,0.0
0,2021,Andrews,Accounts payable,3583.0
0,2021,Baldwin,Accounts payable,3583.0
0,2021,Chester,Accounts payable,3583.0
0,2021,Digby,Accounts payable,3583.0
0,2021,Erie,Accounts payable,3583.0
0,2021,Ferris,Accounts payable,3583.0
0,2021,Andrews,Inventory,-8617.0
0,2021,Baldwin,Inventory,-8617.0
0,2021,Chester,Inventory,-8617.0
0,2021,Digby,Inventory,-8617.0
0,2021,Erie,Inventory,-8617.0
0,2021,Ferris,Inventory,-8617.0
0,2021,Andrews,Accounts Receivable,-307.0
0,2021,Baldwin,Accounts Receivable,-307.0
0,2021,Chester,Accounts Receivable,-307.0
0,2021,Digby,Accounts Receivable,-307.0
0,2021,Erie,Accounts Receivable,-307.0
0,2021,Ferris,Accounts Receivable,-307.0
0,2021,Andrews,Net cash from operations,6434.0
0,2021,Baldwin,Net cash from operations,6434.0
