,round,year,company,segment,name,UnitSold,UnitInvent,RevDate,Age,MTBF,Pfmm,Size,Price,MatCost,LaborCost,ContrMarg,SecShiftOverTime,AutomationNextRd,CapNextRd,PlantUtilz,market_cap,market_size,performance_center,performance_ideal,size_center,size_ideal,AGE_ideal,PRICE_L,PRICE_H,MTBF_L,MTBF_H,radius,distance,distance_ideal
47,0.0,2022.0,Digby,NA,DeeNee,0.0,0.0,2023-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0,,,,,,,,,,,,0,,0
62,0.0,2023.0,Andrews,NA,ANew1,0.0,0.0,2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0,,,,,,,,,,,,0,,0
73,0.0,2023.0,Chester,NA,C_PI,0.0,0.0,2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0,,,,,,,,,,,,0,,0
85,0.0,2023.0,Erie,NA,Elite,0.0,0.0,2023-11-26,0.1,20000.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,4.0,600.0,0,,,,,,,,,,,,0,,0
96,0.0,2024.0,Andrews,NA,ANew2,0.0,0.0,2025-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0,,,,,,,,,,,,0,,0
102,0.0,2024.0,Baldwin,NA,Baker2,0.0,0.0,2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,450.0,0,,,,,,,,,,,,0,,0
103,0.0,2024.0,Baldwin,NA,Bid2,0.0,0.0,2024-06-30,0.5,23000.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,400.0,0,,,,,,,,,,,,0,,0
108,0.0,2024.0,Chester,NA,C_PI,0.0,0.0,2024-07-15,0.5,27000.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,5.0,400.0,0,,,,,,,,,,,,0,,0
121,0.0,2024.0,Erie,NA,Echo,0.0,0.0,2023-07-31,3.1,24000.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,900.0,0,,,,,,,,,,,,0,,0
122,0.0,2024.0,Erie,NA,Elon,0.0,0.0,2025-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0,,,,,,,,,,,,0,,0
