,round,year,company,pars,value
0,0.0,2021.0,Andrews,Accounts Payable,6583.0
1,0.0,2021.0,Andrews,Accounts Receivable,-307.0
2,0.0,2021.0,Andrews,Accounts payable,3583.0
3,0.0,2021.0,Andrews,Accumulated Depreciation,-37933.0
4,0.0,2021.0,Andrews,Asset Turnover,1.05
5,0.0,2021.0,Andrews,Book Value,23.97
6,0.0,2021.0,Andrews,Cash,3434.0
7,0.0,2021.0,Andrews,Cash from current debt borrowing,0.0
8,0.0,2021.0,Andrews,Cash from emergency loan,0.0
9,0.0,2021.0,Andrews,Cash from long term debt issued,0.0
10,0.0,2021.0,Andrews,Common Stock,18360.0
11,0.0,2021.0,Andrews,Contrib. Margin %,0.283
12,0.0,2021.0,Andrews,Contribution Margin,28560.0
13,0.0,2021.0,Andrews,Cumulative Profit,4188.507
14,0.0,2021.0,Andrews,Current Debt,0.0
15,0.0,2021.0,Andrews,Depreciation,7587.0
16,0.0,2021.0,Andrews,Dividend,2.0
17,0.0,2021.0,Andrews,Dividends paid,-4000.0
18,0.0,2021.0,Andrews,EBIT,11996.365
19,0.0,2021.0,Andrews,EPS,2.09
20,0.0,2021.0,Andrews,Early retirement of long term debt,0.0
21,0.0,2021.0,Andrews,Emergency Loan,0.0
22,0.0,2021.0,Andrews,Extraordinary gains/losses/writeoffs,0.0
23,0.0,2021.0,Andrews,HR.1st Shift Complement,640.0
24,0.0,2021.0,Andrews,HR.2nd Shift Complement,60.0
25,0.0,2021.0,Andrews,HR.Annual Raise,0.05
26,0.0,2021.0,Andrews,HR.Benefits,2500.0
27,0.0,2021.0,Andrews,HR.Complement,700.0
28,0.0,2021.0,Andrews,HR.Needed Complement,701.0
29,0.0,2021.0,Andrews,HR.New Employees,70.0
30,0.0,2021.0,Andrews,HR.Overtime Percent,0.002
31,0.0,2021.0,Andrews,HR.Productivity Index,1.0
32,0.0,2021.0,Andrews,HR.Profit Sharing,0.02
33,0.0,2021.0,Andrews,HR.Recruiting Cost,70.0
34,0.0,2021.0,Andrews,HR.Recruiting Spend,0.0
35,0.0,2021.0,Andrews,HR.Separated Employees,0.0
36,0.0,2021.0,Andrews,HR.Separation Cost,0.0
37,0.0,2021.0,Andrews,HR.Total HR Admin Cost,70.0
38,0.0,2021.0,Andrews,HR.Training Cost,0.0
39,0.0,2021.0,Andrews,HR.Training Hours,0.0
40,0.0,2021.0,Andrews,HR.Turnover Rate,0.1
41,0.0,2021.0,Andrews,HR.Wages,21.0
42,0.0,2021.0,Andrews,"Interest(Short term,Long term)",5421.0
43,0.0,2021.0,Andrews,Inventory,-8617.0
44,0.0,2021.0,Andrews,Leverage,2.0
45,0.0,2021.0,Andrews,Long Term Debt,41700.0
46,0.0,2021.0,Andrews,MarketCap per share,69.0
47,0.0,2021.0,Andrews,MarketCap shares,2000.0
48,0.0,2021.0,Andrews,Net Income(Loss),4189.0
49,0.0,2021.0,Andrews,Net Profit,4189.0
50,0.0,2021.0,Andrews,Net cash from financing activities,-4000.0
51,0.0,2021.0,Andrews,Net cash from operations,6434.0
52,0.0,2021.0,Andrews,Net change in cash position,2434.0
53,0.0,2021.0,Andrews,"Other(Fees,Writeoffs,TQM,Bonuses)",0.0
54,0.0,2021.0,Andrews,P/E,16.4
55,0.0,2021.0,Andrews,Plant and equipment,113800.0
56,0.0,2021.0,Andrews,Plant improvements(net),0.0
57,0.0,2021.0,Andrews,Profit Sharing,85.0
58,0.0,2021.0,Andrews,Profits,4188.507
59,0.0,2021.0,Andrews,Purchase of common stock,0.0
60,0.0,2021.0,Andrews,ROA,0.044
61,0.0,2021.0,Andrews,ROE,0.087
62,0.0,2021.0,Andrews,ROS,0.041
63,0.0,2021.0,Andrews,Retained Earnings,29582.0
64,0.0,2021.0,Andrews,Retirement of current debt,0.0
65,0.0,2021.0,Andrews,SG&A / Sales,0.089
66,0.0,2021.0,Andrews,"SGA(R&D,Promo,Sales,Admin)",8978.0
67,0.0,2021.0,Andrews,Sales,101073.437
68,0.0,2021.0,Andrews,Sales of common stock,0.0
69,0.0,2021.0,Andrews,Stock Market Change,0.0
70,0.0,2021.0,Andrews,Stock Market Close,34.25
71,0.0,2021.0,Andrews,TQM.Benchmarking,0.0
72,0.0,2021.0,Andrews,TQM.CCE/6 Sigma Training,0.0
73,0.0,2021.0,Andrews,TQM.CPI Systems,0.0
74,0.0,2021.0,Andrews,TQM.Channel Support Systems,0.0
75,0.0,2021.0,Andrews,TQM.Concurrent Engineering,0.0
76,0.0,2021.0,Andrews,TQM.Demand Increase,0.0
77,0.0,2021.0,Andrews,TQM.GEMI TQEM Sustainability Initiatives,0.0
78,0.0,2021.0,Andrews,TQM.Labor Cost Reduction,0.0
79,0.0,2021.0,Andrews,TQM.Material Cost Reduction,0.0
80,0.0,2021.0,Andrews,TQM.Quality Function Deployment Effort,0.0
81,0.0,2021.0,Andrews,TQM.Quality Initiative Training,0.0
82,0.0,2021.0,Andrews,TQM.Reduction Admin Costs,0.0
83,0.0,2021.0,Andrews,TQM.Reduction R&D Cycle Time,0.0
84,0.0,2021.0,Andrews,TQM.Total Expenditures,0.0
85,0.0,2021.0,Andrews,TQM.UNEP Green Programs,0.0
86,0.0,2021.0,Andrews,TQM.VendorJIT,0.0
87,0.0,2021.0,Andrews,Taxes,2301.0
88,0.0,2021.0,Andrews,Total Assets,96225.0
89,0.0,2021.0,Andrews,Total Current Assets,20358.0
90,0.0,2021.0,Andrews,Total Current Liabilities,6583.0
91,0.0,2021.0,Andrews,Total Equity,47942.0
92,0.0,2021.0,Andrews,Total Fixed Assets,75867.0
93,0.0,2021.0,Andrews,Total Liabilities,48283.0
94,0.0,2021.0,Andrews,Total Liabilities & Owners Equity,96225.0
95,0.0,2021.0,Andrews,"Variable Costs(Labor,Material,Carry)",72513.0
96,0.0,2021.0,Andrews,Yield,0.058
97,0.0,2021.0,Baldwin,Accounts Payable,6583.0
98,0.0,2021.0,Baldwin,Accounts Receivable,-307.0
99,0.0,2021.0,Baldwin,Accounts payable,3583.0
100,0.0,2021.0,Baldwin,Accumulated Depreciation,-37933.0
101,0.0,2021.0,Baldwin,Asset Turnover,1.05
102,0.0,2021.0,Baldwin,Book Value,23.97
103,0.0,2021.0,Baldwin,Cash,3434.0
104,0.0,2021.0,Baldwin,Cash from current debt borrowing,0.0
105,0.0,2021.0,Baldwin,Cash from emergency loan,0.0
106,0.0,2021.0,Baldwin,Cash from long term debt issued,0.0
107,0.0,2021.0,Baldwin,Common Stock,18360.0
108,0.0,2021.0,Baldwin,Contrib. Margin %,0.283
109,0.0,2021.0,Baldwin,Contribution Margin,28560.0
110,0.0,2021.0,Baldwin,Cumulative Profit,4188.507
111,0.0,2021.0,Baldwin,Current Debt,0.0
112,0.0,2021.0,Baldwin,Depreciation,7587.0
113,0.0,2021.0,Baldwin,Dividend,2.0
114,0.0,2021.0,Baldwin,Dividends paid,-4000.0
115,0.0,2021.0,Baldwin,EBIT,11996.365
116,0.0,2021.0,Baldwin,EPS,2.09
117,0.0,2021.0,Baldwin,Early retirement of long term debt,0.0
118,0.0,2021.0,Baldwin,Emergency Loan,0.0
119,0.0,2021.0,Baldwin,Extraordinary gains/losses/writeoffs,0.0
120,0.0,2021.0,Baldwin,HR.1st Shift Complement,640.0
121,0.0,2021.0,Baldwin,HR.2nd Shift Complement,60.0
122,0.0,2021.0,Baldwin,HR.Annual Raise,0.05
123,0.0,2021.0,Baldwin,HR.Benefits,2500.0
124,0.0,2021.0,Baldwin,HR.Complement,700.0
125,0.0,2021.0,Baldwin,HR.Needed Complement,701.0
126,0.0,2021.0,Baldwin,HR.New Employees,70.0
127,0.0,2021.0,Baldwin,HR.Overtime Percent,0.002
128,0.0,2021.0,Baldwin,HR.Productivity Index,1.0
129,0.0,2021.0,Baldwin,HR.Profit Sharing,0.02
130,0.0,2021.0,Baldwin,HR.Recruiting Cost,70.0
131,0.0,2021.0,Baldwin,HR.Recruiting Spend,0.0
132,0.0,2021.0,Baldwin,HR.Separated Employees,0.0
133,0.0,2021.0,Baldwin,HR.Separation Cost,0.0
134,0.0,2021.0,Baldwin,HR.Total HR Admin Cost,70.0
135,0.0,2021.0,Baldwin,HR.Training Cost,0.0
136,0.0,2021.0,Baldwin,HR.Training Hours,0.0
137,0.0,2021.0,Baldwin,HR.Turnover Rate,0.1
138,0.0,2021.0,Baldwin,HR.Wages,21.0
139,0.0,2021.0,Baldwin,"Interest(Short term,Long term)",5421.0
140,0.0,2021.0,Baldwin,Inventory,-8617.0
141,0.0,2021.0,Baldwin,Leverage,2.0
142,0.0,2021.0,Baldwin,Long Term Debt,41700.0
143,0.0,2021.0,Baldwin,MarketCap per share,69.0
144,0.0,2021.0,Baldwin,MarketCap shares,2000.0
145,0.0,2021.0,Baldwin,Net Income(Loss),4189.0
146,0.0,2021.0,Baldwin,Net Profit,4189.0
147,0.0,2021.0,Baldwin,Net cash from financing activities,-4000.0
148,0.0,2021.0,Baldwin,Net cash from operations,6434.0
149,0.0,2021.0,Baldwin,Net change in cash position,2434.0
150,0.0,2021.0,Baldwin,"Other(Fees,Writeoffs,TQM,Bonuses)",0.0
151,0.0,2021.0,Baldwin,P/E,16.4
152,0.0,2021.0,Baldwin,Plant and equipment,113800.0
153,0.0,2021.0,Baldwin,Plant improvements(net),0.0
154,0.0,2021.0,Baldwin,Profit Sharing,85.0
155,0.0,2021.0,Baldwin,Profits,4188.507
156,0.0,2021.0,Baldwin,Purchase of common stock,0.0
157,0.0,2021.0,Baldwin,ROA,0.044
158,0.0,2021.0,Baldwin,ROE,0.087
159,0.0,2021.0,Baldwin,ROS,0.041
160,0.0,2021.0,Baldwin,Retained Earnings,29582.0
161,0.0,2021.0,Baldwin,Retirement of current debt,0.0
162,0.0,2021.0,Baldwin,SG&A / Sales,0.089
163,0.0,2021.0,Baldwin,"SGA(R&D,Promo,Sales,Admin)",8978.0
164,0.0,2021.0,Baldwin,Sales,101073.437
165,0.0,2021.0,Baldwin,Sales of common stock,0.0
166,0.0,2021.0,Baldwin,Stock Market Change,0.0
167,0.0,2021.0,Baldwin,Stock Market Close,34.25
168,0.0,2021.0,Baldwin,TQM.Benchmarking,0.0
169,0.0,2021.0,Baldwin,TQM.CCE/6 Sigma Training,0.0
170,0.0,2021.0,Baldwin,TQM.CPI Systems,0.0
171,0.0,2021.0,Baldwin,TQM.Channel Support Systems,0.0
172,0.0,2021.0,Baldwin,TQM.Concurrent Engineering,0.0
173,0.0,2021.0,Baldwin,TQM.Demand Increase,0.0
174,0.0,2021.0,Baldwin,TQM.GEMI TQEM Sustainability Initiatives,0.0
175,0.0,2021.0,Baldwin,TQM.Labor Cost Reduction,0.0
176,0.0,2021.0,Baldwin,TQM.Material Cost Reduction,0.0
177,0.0,2021.0,Baldwin,TQM.Quality Function Deployment Effort,0.0
178,0.0,2021.0,Baldwin,TQM.Quality Initiative Training,0.0
179,0.0,2021.0,Baldwin,TQM.Reduction Admin Costs,0.0
180,0.0,2021.0,Baldwin,TQM.Reduction R&D Cycle Time,0.0
181,0.0,2021.0,Baldwin,TQM.Total Expenditures,0.0
182,0.0,2021.0,Baldwin,TQM.UNEP Green Programs,0.0
183,0.0,2021.0,Baldwin,TQM.VendorJIT,0.0
184,0.0,2021.0,Baldwin,Taxes,2301.0
185,0.0,2021.0,Baldwin,Total Assets,96225.0
186,0.0,2021.0,Baldwin,Total Current Assets,20358.0
187,0.0,2021.0,Baldwin,Total Current Liabilities,6583.0
188,0.0,2021.0,Baldwin,Total Equity,47942.0
189,0.0,2021.0,Baldwin,Total Fixed Assets,75867.0
190,0.0,2021.0,Baldwin,Total Liabilities,48283.0
191,0.0,2021.0,Baldwin,Total Liabilities & Owners Equity,96225.0
192,0.0,2021.0,Baldwin,"Variable Costs(Labor,Material,Carry)",72513.0
193,0.0,2021.0,Baldwin,Yield,0.058
194,0.0,2021.0,Chester,Accounts Payable,6583.0
195,0.0,2021.0,Chester,Accounts Receivable,-307.0
196,0.0,2021.0,Chester,Accounts payable,3583.0
197,0.0,2021.0,Chester,Accumulated Depreciation,-37933.0
198,0.0,2021.0,Chester,Asset Turnover,1.05
199,0.0,2021.0,Chester,Book Value,23.97
200,0.0,2021.0,Chester,Cash,3434.0
201,0.0,2021.0,Chester,Cash from current debt borrowing,0.0
202,0.0,2021.0,Chester,Cash from emergency loan,0.0
