,round,year,company,pars,value
53,1.0,2022.0,Andrews,UnitSold.High End,433.0
58,1.0,2022.0,Baldwin,UnitSold.High End,466.0
63,1.0,2022.0,Chester,UnitSold.High End,521.0
68,1.0,2022.0,Digby,UnitSold.High End,306.0
74,1.0,2022.0,Erie,UnitSold.High End,462.0
79,1.0,2022.0,Ferris,UnitSold.High End,514.0
88,2.0,2023.0,Andrews,UnitSold.High End,805.0
94,2.0,2023.0,Baldwin,UnitSold.High End,393.0
99,2.0,2023.0,Chester,UnitSold.High End,226.0
105,2.0,2023.0,Digby,UnitSold.High End,412.0
110,2.0,2023.0,Erie,UnitSold.High End,470.0
116,2.0,2023.0,Ferris,UnitSold.High End,1111.0
125,3.0,2024.0,Andrews,UnitSold.High End,1048.0
131,3.0,2024.0,Baldwin,UnitSold.High End,270.0
142,3.0,2024.0,Digby,UnitSold.High End,792.0
147,3.0,2024.0,Erie,UnitSold.High End,1172.0
152,3.0,2024.0,Ferris,UnitSold.High End,644.0
161,4.0,2025.0,Andrews,UnitSold.High End,793.0
166,4.0,2025.0,Baldwin,UnitSold.High End,1019.0
175,4.0,2025.0,Digby,UnitSold.High End,1260.0
181,4.0,2025.0,Erie,UnitSold.High End,946.0
185,4.0,2025.0,Ferris,UnitSold.High End,629.0
194,5.0,2026.0,Andrews,UnitSold.High End,1273.0
199,5.0,2026.0,Baldwin,UnitSold.High End,1892.0
209,5.0,2026.0,Digby,UnitSold.High End,879.0
215,5.0,2026.0,Erie,UnitSold.High End,995.0
219,5.0,2026.0,Ferris,UnitSold.High End,369.0
228,6.0,2027.0,Andrews,UnitSold.High End,1367.0
233,6.0,2027.0,Baldwin,UnitSold.High End,1841.0
238,6.0,2027.0,Chester,UnitSold.High End,1162.0
242,6.0,2027.0,Digby,UnitSold.High End,822.0
247,6.0,2027.0,Erie,UnitSold.High End,776.0
251,6.0,2027.0,Ferris,UnitSold.High End,427.0
260,7.0,2028.0,Andrews,UnitSold.High End,1132.0
265,7.0,2028.0,Baldwin,UnitSold.High End,1359.0
270,7.0,2028.0,Chester,UnitSold.High End,1036.0
274,7.0,2028.0,Digby,UnitSold.High End,1884.0
279,7.0,2028.0,Erie,UnitSold.High End,1443.0
283,7.0,2028.0,Ferris,UnitSold.High End,450.0
292,8.0,2029.0,Andrews,UnitSold.High End,1134.0
297,8.0,2029.0,Baldwin,UnitSold.High End,720.0
302,8.0,2029.0,Chester,UnitSold.High End,1398.0
306,8.0,2029.0,Digby,UnitSold.High End,2487.0
311,8.0,2029.0,Erie,UnitSold.High End,2004.0
315,8.0,2029.0,Ferris,UnitSold.High End,743.0
54,1.0,2022.0,Andrews,UnitSold.Low End,1425.0
59,1.0,2022.0,Baldwin,UnitSold.Low End,1722.0
64,1.0,2022.0,Chester,UnitSold.Low End,1731.0
69,1.0,2022.0,Digby,UnitSold.Low End,2811.0
75,1.0,2022.0,Erie,UnitSold.Low End,2019.0
89,2.0,2023.0,Andrews,UnitSold.Low End,2079.0
95,2.0,2023.0,Baldwin,UnitSold.Low End,3169.0
100,2.0,2023.0,Chester,UnitSold.Low End,2707.0
106,2.0,2023.0,Digby,UnitSold.Low End,1231.0
111,2.0,2023.0,Erie,UnitSold.Low End,1917.0
126,3.0,2024.0,Andrews,UnitSold.Low End,1579.0
132,3.0,2024.0,Baldwin,UnitSold.Low End,3228.0
137,3.0,2024.0,Chester,UnitSold.Low End,2772.0
143,3.0,2024.0,Digby,UnitSold.Low End,2114.0
148,3.0,2024.0,Erie,UnitSold.Low End,2116.0
162,4.0,2025.0,Andrews,UnitSold.Low End,1209.0
167,4.0,2025.0,Baldwin,UnitSold.Low End,3196.0
172,4.0,2025.0,Chester,UnitSold.Low End,4322.0
176,4.0,2025.0,Digby,UnitSold.Low End,2357.0
182,4.0,2025.0,Erie,UnitSold.Low End,2759.0
186,4.0,2025.0,Ferris,UnitSold.Low End,519.0
195,5.0,2026.0,Andrews,UnitSold.Low End,1519.0
200,5.0,2026.0,Baldwin,UnitSold.Low End,4159.0
205,5.0,2026.0,Chester,UnitSold.Low End,4645.0
210,5.0,2026.0,Digby,UnitSold.Low End,2375.0
216,5.0,2026.0,Erie,UnitSold.Low End,2446.0
220,5.0,2026.0,Ferris,UnitSold.Low End,564.0
229,6.0,2027.0,Andrews,UnitSold.Low End,1729.0
234,6.0,2027.0,Baldwin,UnitSold.Low End,4293.0
239,6.0,2027.0,Chester,UnitSold.Low End,5219.0
243,6.0,2027.0,Digby,UnitSold.Low End,1874.0
248,6.0,2027.0,Erie,UnitSold.Low End,3667.0
252,6.0,2027.0,Ferris,UnitSold.Low End,613.0
261,7.0,2028.0,Andrews,UnitSold.Low End,2504.0
266,7.0,2028.0,Baldwin,UnitSold.Low End,4511.0
271,7.0,2028.0,Chester,UnitSold.Low End,5616.0
275,7.0,2028.0,Digby,UnitSold.Low End,2327.0
280,7.0,2028.0,Erie,UnitSold.Low End,3902.0
284,7.0,2028.0,Ferris,UnitSold.Low End,580.0
293,8.0,2029.0,Andrews,UnitSold.Low End,2784.0
298,8.0,2029.0,Baldwin,UnitSold.Low End,4313.0
303,8.0,2029.0,Chester,UnitSold.Low End,7192.0
307,8.0,2029.0,Digby,UnitSold.Low End,3169.0
312,8.0,2029.0,Erie,UnitSold.Low End,3688.0
316,8.0,2029.0,Ferris,UnitSold.Low End,569.0
55,1.0,2022.0,Andrews,UnitSold.Performance,393.0
60,1.0,2022.0,Baldwin,UnitSold.Performance,474.0
65,1.0,2022.0,Chester,UnitSold.Performance,380.0
71,1.0,2022.0,Digby,UnitSold.Performance,499.0
76,1.0,2022.0,Erie,UnitSold.Performance,369.0
80,1.0,2022.0,Ferris,UnitSold.Performance,324.0
91,2.0,2023.0,Andrews,UnitSold.Performance,471.0
96,2.0,2023.0,Baldwin,UnitSold.Performance,654.0
102,2.0,2023.0,Chester,UnitSold.Performance,709.0
107,2.0,2023.0,Digby,UnitSold.Performance,513.0
113,2.0,2023.0,Erie,UnitSold.Performance,208.0
117,2.0,2023.0,Ferris,UnitSold.Performance,204.0
128,3.0,2024.0,Andrews,UnitSold.Performance,449.0
134,3.0,2024.0,Baldwin,UnitSold.Performance,782.0
139,3.0,2024.0,Chester,UnitSold.Performance,1238.0
144,3.0,2024.0,Digby,UnitSold.Performance,585.0
153,3.0,2024.0,Ferris,UnitSold.Performance,242.0
163,4.0,2025.0,Andrews,UnitSold.Performance,507.0
169,4.0,2025.0,Baldwin,UnitSold.Performance,774.0
173,4.0,2025.0,Chester,UnitSold.Performance,1883.0
178,4.0,2025.0,Digby,UnitSold.Performance,589.0
187,4.0,2025.0,Ferris,UnitSold.Performance,193.0
196,5.0,2026.0,Andrews,UnitSold.Performance,492.0
202,5.0,2026.0,Baldwin,UnitSold.Performance,1080.0
207,5.0,2026.0,Chester,UnitSold.Performance,2140.0
212,5.0,2026.0,Digby,UnitSold.Performance,787.0
221,5.0,2026.0,Ferris,UnitSold.Performance,226.0
230,6.0,2027.0,Andrews,UnitSold.Performance,934.0
235,6.0,2027.0,Baldwin,UnitSold.Performance,1364.0
240,6.0,2027.0,Chester,UnitSold.Performance,2363.0
244,6.0,2027.0,Digby,UnitSold.Performance,709.0
253,6.0,2027.0,Ferris,UnitSold.Performance,292.0
262,7.0,2028.0,Andrews,UnitSold.Performance,840.0
267,7.0,2028.0,Baldwin,UnitSold.Performance,2388.0
272,7.0,2028.0,Chester,UnitSold.Performance,2415.0
276,7.0,2028.0,Digby,UnitSold.Performance,848.0
285,7.0,2028.0,Ferris,UnitSold.Performance,292.0
294,8.0,2029.0,Andrews,UnitSold.Performance,758.0
299,8.0,2029.0,Baldwin,UnitSold.Performance,3054.0
304,8.0,2029.0,Chester,UnitSold.Performance,2910.0
308,8.0,2029.0,Digby,UnitSold.Performance,993.0
317,8.0,2029.0,Ferris,UnitSold.Performance,410.0
56,1.0,2022.0,Andrews,UnitSold.Size,266.0
61,1.0,2022.0,Baldwin,UnitSold.Size,458.0
