,name,UnitSold,UnitInvent,RevDate,Age,MTBF,Pfmm,Size,Price,MatCost,LaborCost,ContrMarg,SecShiftOverTime,AutomationNextRd,CapNextRd,PlantUtilz,segment,company,round,year
0,Able,1782.0,0.0,2027-07-07,3.1,17500.0,8.5,11.0,,9.47,7.79,0.35,0.0,4.5,1800.0,0.99,Traditional,Andrews,7,2028
1,Acre,1712.0,1060.0,2027-04-10,6.7,14000.0,5.7,14.3,,6.27,7.43,0.14,1.0,6.0,1400.0,1.98,Low End,Andrews,7,2028
2,Adam,150.0,212.0,2023-05-06,7.2,23000.0,9.5,10.0,,11.81,9.59,0.07,0.0,3.0,900.0,0,Traditional,Andrews,7,2028
3,Aft,934.0,465.0,2027-03-23,4.2,27000.0,15.4,11.8,,14.92,10.4,0.18,1.0,4.0,600.0,1.98,Performance,Andrews,7,2028
4,Agape,17.0,68.0,2019-05-25,9.6,19000.0,4.0,11.0,,8.85,8.39,-0.42,0.0,4.0,1.0,0.99,Low End,Andrews,7,2028
5,ANew1,1367.0,1009.0,2027-06-06,2.5,24000.0,14.3,5.7,,15.32,11.88,0.2,1.0,4.0,1200.0,1.98,High End,Andrews,7,2028
8,Bead,4293.0,64.0,2026-02-10,7.2,14000.0,4.2,15.8,,4.65,1.2,0.63,0.66,10.0,2650.0,1.64,Low End,Baldwin,7,2028
9,Bee,941.0,0.0,2027-03-17,1.8,25000.0,14.4,5.7,,13.99,7.37,0.42,0.85,6.0,800.0,1.45,High End,Baldwin,7,2028
10,Bold,1364.0,0.0,2027-06-30,3.0,27000.0,15.5,11.8,,13.38,7.04,0.36,0.53,5.0,850.0,1.51,Performance,Baldwin,7,2028
12,Bead2,1824.0,57.0,2027-01-20,3.9,17500.0,9.2,10.8,,8.74,1.25,0.61,1.0,10.0,1100.0,1.98,Traditional,Baldwin,7,2028
13,Bid2,399.0,0.0,2027-09-15,2.9,20000.0,8.2,4.5,,11.53,8.06,0.36,0.0,5.0,550.0,0.94,High End,Baldwin,7,2028
14,Baker2,501.0,135.0,2027-09-14,2.5,27000.0,16.3,11.2,,13.81,8.06,0.37,0.0,6.0,650.0,0.62,High End,Baldwin,7,2028
15,Cake,2523.0,646.0,2022-05-05,8.4,14000.0,5.7,14.3,,5.61,2.56,0.53,0.45,10.0,2200.0,1.44,Low End,Chester,7,2028
16,Cedar,2696.0,20.0,2027-04-04,6.7,14000.0,4.7,15.3,,4.97,2.61,0.59,0.57,10.0,1400.0,1.56,Low End,Chester,7,2028
19,Cure,1188.0,0.0,2026-11-14,3.3,19000.0,9.2,10.8,,9.15,4.14,0.5,1.0,9.0,1200.0,1.98,Traditional,Chester,7,2028
20,C_PI,951.0,0.0,2027-01-15,3.2,27000.0,15.4,11.8,,13.35,5.52,0.4,1.0,7.0,680.0,1.98,Performance,Chester,7,2028
21,C_P2,1162.0,225.0,2026-12-21,2.0,25000.0,14.3,5.7,,13.97,11.03,0.3,1.0,3.0,700.0,1.98,High End,Chester,7,2028
22,Daze,1653.0,191.0,2027-08-15,2.9,17500.0,9.0,11.0,,8.62,6.95,0.38,0.0,5.0,1800.0,0.99,Traditional,Digby,7,2028
23,Dell,1874.0,742.0,2027-05-02,6.6,14000.0,5.2,14.8,,5.29,5.24,0.39,0.37,7.0,1600.0,1.36,Low End,Digby,7,2028
24,Dot,709.0,0.0,2027-05-21,2.7,27000.0,15.2,12.0,,13.22,9.27,0.29,0.0,3.0,600.0,0.99,Performance,Digby,7,2028
25,Dune,1310.0,0.0,2027-07-26,2.5,19000.0,8.2,4.6,,11.22,11.48,0.28,1.0,3.0,600.0,1.98,Size,Digby,7,2028
26,DeeNee,693.0,931.0,2027-11-05,2.2,22000.0,14.3,5.7,,13.16,6.25,0.41,0.2,6.0,1000.0,1.19,High End,Digby,7,2028
27,DeeKwa,129.0,478.0,2026-12-03,2.1,22000.0,15.5,5.5,,13.61,1.16,0.43,0.0,10.0,1000.0,0.99,High End,Digby,7,2028
28,Dcuk,50.0,0.0,2027-06-26,1.5,21000.0,8.9,3.6,,12.29,1.43,0.59,0.95,10.0,200.0,0.99,Size,Digby,7,2028
29,Eat,2541.0,922.0,2027-03-01,3.6,17500.0,9.2,10.8,,8.74,1.28,0.58,0.39,10.0,1800.0,1.36,Traditional,Erie,7,2028
30,Ebb,3667.0,26.0,2027-01-14,6.8,14000.0,4.6,16.1,,4.71,1.4,0.6,1.0,10.0,2400.0,1.95,Low End,Erie,7,2028
31,Egg,1304.0,0.0,2027-07-09,3.1,21000.0,8.2,4.6,,11.75,6.99,0.41,1.0,6.0,1000.0,1.95,Size,Erie,7,2028
32,Elite,510.0,712.0,2027-04-18,3.4,25000.0,14.3,5.7,,13.96,6.99,0.36,1.0,6.0,600.0,1.95,High End,Erie,7,2028
34,Fast,613.0,184.0,2024-01-29,8.4,17000.0,5.4,14.6,,7.04,8.49,0.22,0.0,5.0,800.0,0.99,Low End,Ferris,7,2028
35,Fist,427.0,110.0,2027-10-17,2.2,24000.0,13.5,6.5,,14.95,9.9,0.32,0.0,4.0,950.0,0.26,High End,Ferris,7,2028
36,Foam,292.0,80.0,2027-10-24,2.2,24000.0,14.6,12.0,,13.81,9.9,0.25,0.0,4.0,600.0,0.58,Performance,Ferris,7,2028
37,Fume,408.0,70.0,2027-10-12,2.3,18000.0,7.2,5.2,,11.95,9.9,0.32,0.0,4.0,700.0,0.28,Size,Ferris,7,2028
